시도,군구,관광지,총계,2020,2021,2022,2023,2024
인천광역시,강화군,강화씨사이드리조트,350457,,,,,350457
인천광역시,강화군,강화역사박물관,379996,17632,28291,108230,113910,111933
인천광역시,강화군,강화자연사박물관,351930,16565,28105,100718,103436,103106
인천광역시,강화군,강화전적지5개소,1526783,173647,259110,428551,384627,280848
인천광역시,강화군,강화평화전망대,678543,35040,53803,179682,200617,209401
인천광역시,강화군,강화화문석문화관,15045,1476,1192,2916,4015,5446
인천광역시,강화군,마니산,850659,161371,158577,189215,179313,162183
인천광역시,강화군,석모도 자연휴양림,117010,10976,3523,21932,39591,40988
인천광역시,강화군,석모도미네랄스파,446994,35441,17993,131869,216882,44809
인천광역시,강화군,소창체험관,171321,2807,2695,33733,67933,64153
인천광역시,강화군,옥토끼우주센터,574862,72440,119558,127804,111280,143780
인천광역시,강화군,함허동천,343685,44520,39844,70005,94027,95289
인천광역시,강화군,화개정원,515622,,,,,515622
인천광역시,옹진군,대청면,86586,16604,16748,18787,17214,17233
인천광역시,옹진군,덕적면,515400,92938,93680,115072,107414,106296
인천광역시,옹진군,백령면,318955,56537,58370,76741,65205,62102
인천광역시,옹진군,북도면,1842208,389474,400891,363515,347254,341074
인천광역시,옹진군,연평면,118741,19690,22573,24939,24940,26599
인천광역시,옹진군,영흥에너지파크,23247,8575,6111,0,2321,6240
인천광역시,옹진군,자월면,599334,125012,107136,127795,109030,130361
광주광역시,동구,곰적골,56427,31312,8212,8602,8301,
광주광역시,동구,광주광역시 5.18민주화운동기록관,243201,19573,30738,82622,51185,59083
광주광역시,동구,광주폴리인포센터,15267,,,7313,7954,
광주광역시,동구,무등산관광리프트 모노레일,167500,,,57743,56042,53715
광주광역시,동구,무등산국립공원(동적골),852866,193063,172419,278900,208484,
광주광역시,동구,무등산국립공원(새인봉),255191,63238,58747,66367,66839,
광주광역시,동구,무등산국립공원(장원봉제1진입로),61833,11912,30520,12473,6928,
광주광역시,동구,무등산국립공원(제1수원지),185789,38196,52724,51721,43148,
광주광역시,동구,무등산국립공원(제2수원지),259213,34621,39540,104258,80794,
광주광역시,동구,무등산국립공원(증심사방향1),81482,81482,,,,
광주광역시,동구,무등산국립공원(증심사방향2),221747,221747,,,,
광주광역시,동구,무등산국립공원(증심사상가방향1),47938,47938,,,,
광주광역시,동구,무등산국립공원(증심사상가방향2),196904,196904,,,,
광주광역시,동구,무등산국립공원(증심사차량통제소),2240575,115192,544745,759711,820927,
광주광역시,동구,무등산국립공원(증심지구 입구),1165059,342030,457668,159884,205477,
광주광역시,동구,무등산국립공원(지산유원지),6103,6103,,,,
광주광역시,동구,여행자의 집,34772,,,,16932,17840
광주광역시,동구,의재미술관,9862,,,,,9862
광주광역시,동구,전일빌딩 245,658210,,,187892,217930,252388
광주광역시,동구,전통문화관,245225,,,51460,83118,110647
광주광역시,동구,지원정수장,8606,8606,,,,
광주광역시,서구,광주학생독립운동기념회관,31201,8774,5570,3064,6992,6801
광주광역시,서구,김대중컨벤션센터,2447077,,,891055,760192,795830
광주광역시,서구,서창한옥문화관,45232,,,20438,24794,
광주광역시,서구,하정웅미술관,55045,5009,6367,8927,13429,21313
광주광역시,남구,고싸움놀이테마파크,13198,1040,2212,4146,5800,
광주광역시,남구,광주김치타운,55167,,,11392,12936,30839
광주광역시,남구,광주미디어아트플랫폼,83821,,,,31751,52070
광주광역시,남구,빛고을CC,384757,,,,,384757
광주광역시,남구,빛고을공예창작촌,71747,10044,780,11796,24488,24639
광주광역시,남구,빛고을농촌테마공원,183427,,,78958,104469,
광주광역시,남구,승촌보야영장,108215,11103,15743,24462,28643,28264
광주광역시,남구,영산강문화관,692339,26854,2607,159024,246883,256971
광주광역시,남구,오방최흥종기념관,12344,,,,,12344
광주광역시,남구,이강하미술관,12780,,,,,12780
광주광역시,남구,이장우가옥,31850,14156,859,293,1589,14953
광주광역시,남구,조아라기념관,10114,,,,,10114
광주광역시,남구,펭귄마을,129728,7251,3551,43040,75886,
광주광역시,남구,포충사,204656,46710,40132,45400,41000,31414
광주광역시,북구,광주광역시역사민속박물관,428579,17848,62415,77085,134912,136319
광주광역시,북구,광주솔로몬로파크,96580,,,,,96580
광주광역시,북구,광주시민의숲 야영장,210304,14772,29628,52956,56244,56704
광주광역시,북구,광주예술의전당,380689,28550,26803,28704,114038,182594
광주광역시,북구,광주호 호수생태원,910371,120272,227730,268871,293498,
광주광역시,북구,국립광주과학관,3016857,258340,347389,632157,836249,942722
광주광역시,북구,국립광주박물관,1635829,97198,144692,515872,437997,440070
광주광역시,북구,남도향토음식박물관,67760,,,16943,25722,25095
광주광역시,북구,무등산국립공원(각화제),187715,187715,,,,
광주광역시,북구,무등산국립공원(원효분소차단기1),72422,72422,,,,
광주광역시,북구,무등산국립공원(원효분소차단기2),32256,32256,,,,
광주광역시,북구,무등산국립공원(원효사상가~꼬막재방향),12734,12734,,,,
광주광역시,북구,무등산국립공원(원효사상가~제철유적지방향),24866,24866,,,,
광주광역시,북구,무등산국립공원(원효사위),82813,82813,,,,
광주광역시,북구,무등산국립공원(원효사주차장~옛길),5289,5289,,,,
광주광역시,북구,무등산국립공원(원효사차량통제소),45403,45403,,,,
광주광역시,북구,무등산국립공원(원효지구),2030804,,709201,654325,667278,
광주광역시,북구,무등산국립공원(인공폭포),6063,6063,,,,
광주광역시,북구,무등산국립공원(장원봉제2진입로),1747,1747,,,,
광주광역시,북구,무등산국립공원(청풍쉼터),85133,85133,,,,
광주광역시,북구,무등산국립공원(청풍탐방지원센터),23533,23533,,,,
광주광역시,북구,무등산국립공원(풍암제),31631,31631,,,,
광주광역시,북구,빛고을국민안전체험관,291796,,,92107,99746,99943
광주광역시,북구,시립미술관(중외공원),403295,29580,69872,126146,98935,78762
광주광역시,북구,우치공원(동물원),1007148,180030,330354,262184,234580,
광주광역시,북구,우치공원(패밀리랜드),1407943,130663,253888,383570,329449,310373
광주광역시,북구,충장사,33453,,,9950,10151,13352
광주광역시,광산구,광산구 국민여가 친환경 오토캠핑장 ,41050,,,15406,13417,12227
광주광역시,광산구,소촌아트팩토리,59295,,,15673,43622,
광주광역시,광산구,신창동 마한유적체험관,24839,,,,,24839
광주광역시,광산구,에콜리안광산골프장,45162,,,,,45162
광주광역시,광산구,월봉서원(빙월당),50549,,,18264,32285,
서울특별시,종로구,경복궁,17510393,1019097,1085188,3382603,5579905,6443600
서울특별시,종로구,종묘,1386865,146377,215263,286620,338933,399672
서울특별시,종로구,창경궁,4033764,391315,557433,887806,1083389,1113821
서울특별시,종로구,창덕궁,5702338,472875,643549,1186361,1639910,1759643
서울특별시,중구,남산골한옥마을,4894969,793341,800685,928726,1155773,1216444
서울특별시,중구,덕수궁,11774621,1027432,1548926,2696402,3099577,3402284
서울특별시,중구,서울시립미술관 본관,6397148,328569,637417,2452057,1300516,1678589
서울특별시,용산구,국립중앙박물관,14455292,1738008,1273173,3398658,4179508,3865945
서울특별시,동대문구,서울약령시 한의약박물관,390816,6731,24821,105975,106575,146714
서울특별시,동대문구,세종대왕기념관,7082,455,203,2247,2812,1365
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,391768,92848,77589,78828,62648,79855
서울특별시,서대문구,서대문자연사박물관,862303,51303,92553,245998,240125,232324
서울특별시,서대문구,서대문형무소역사관,1275261,56563,90316,312907,403174,412301
서울특별시,마포구,트릭아이미술관,49547,35925,13622,,,
서울특별시,서초구,헌릉ㆍ인릉,133836,44749,44941,,,44146
서울특별시,강남구,선릉·정릉,2064487,346056,413616,410807,413700,480308
서울특별시,송파구,롯데월드,18986794,1557802,2462472,4516912,5192688,5256920
서울특별시,송파구,서울스카이,4631048,366679,508922,1126670,1333489,1295288
서울특별시,송파구,아쿠아리움,4631290,506012,725136,1124489,1180598,1095055
전라남도,목포시,1987 영화촬영지,1205918,287780,243003,317646,357489,
전라남도,목포시,가톨릭 목포 성지,179656,41504,38912,43602,27617,28021
전라남도,목포시,고하도 용오름길,75167,38028,18837,10317,7985,
전라남도,목포시,고하도 전망대,2308923,446776,426842,720139,715166,
전라남도,목포시,국립해양문화재연구소,322391,48453,50037,76040,94331,53530
전라남도,목포시,국립호남권생물자원관,348189,,,89095,120870,138224
전라남도,목포시,김대중노벨평화상기념관,521521,50899,64332,114905,134579,156806
전라남도,목포시,노을전망대,1320913,432754,405832,234959,247368,
전라남도,목포시,노적봉예술공원 미술관,139600,21060,24972,28436,32728,32404
전라남도,목포시,동본원사,1776819,323587,295345,341032,401491,415364
전라남도,목포시,목재문화체험장,167002,,,55444,48812,62746
전라남도,목포시,목포 대중음악의 전당,43575,,,,22549,21026
전라남도,목포시,목포 해상케이블카,4017607,692916,644767,959412,910604,809908
전라남도,목포시,목포갓바위,1934772,439900,481046,432943,580883,
전라남도,목포시,목포국제축구센터,619441,99309,117706,110901,162290,129235
전라남도,목포시,목포근대역사관Ⅰ·Ⅱ관,952917,108249,149837,190155,253433,251243
전라남도,목포시,목포문학관,48053,2566,4250,13375,18187,9675
전라남도,목포시,목포삼학도유람선,238564,21917,17548,44594,82839,71666
전라남도,목포시,목포시민문화체육센터,239341,18232,30552,36202,72892,81463
전라남도,목포시,목포실내수영장,249313,16451,85806,104763,7002,35291
전라남도,목포시,목포요트마리나,194131,35325,35697,40821,82288,
전라남도,목포시,목포자연사박물관,814002,65282,138265,169366,204755,236334
전라남도,목포시,목화문화관,194691,,36082,58172,48445,51992
전라남도,목포시,부주산국제파크골프장,193127,25463,31968,36275,42190,57231
전라남도,목포시,부흥산 둘레길,600504,106038,138915,157244,198307,
전라남도,목포시,사랑의섬외달도,65235,14007,12658,12946,13813,11811
전라남도,목포시,성옥기념관,69780,8475,9712,15720,18482,17391
전라남도,목포시,스카이워크,1305698,,287455,154710,403812,459721
전라남도,목포시,시민의 종,245710,54351,48514,54241,88604,
전라남도,목포시,양을산 산림욕장,1710140,341629,337809,494423,536279,
전라남도,목포시,어린이바다과학관,546805,71690,104227,106203,125522,139163
전라남도,목포시,어민 동산,688682,254589,174638,118652,140803,
전라남도,목포시,유달산둘레길,1972651,283238,278543,663401,747469,
전라남도,목포시,유달유원지,568112,95623,122723,163252,186514,
전라남도,목포시,입암산 둘레숲길,1371667,378104,296664,350123,346776,
전라남도,목포시,조각 공원,678894,152568,147341,177120,201865,
전라남도,목포시,춤추는 바다분수,1824256,541840,472793,572226,237397,
전라남도,여수시,(주)여수예술랜드,2400057,260491,302053,451058,689602,696853
전라남도,여수시,거문도,1322110,250549,230879,333600,262202,244880
전라남도,여수시,경도골프장,544208,122700,114718,114878,100175,91737
전라남도,여수시,굴전여가캠핑장,51068,17056,16740,11088,6184,0
전라남도,여수시,금오도,1426767,232427,235382,385877,282478,290603
전라남도,여수시,낭도야영장,17182,,,,,17182
전라남도,여수시,돌산공원(여수해상케이블카),5417367,915709,997530,1265042,1200095,1038991
전라남도,여수시,디오션골프장,468229,98337,101989,101277,95118,71508
전라남도,여수시,디오션리조트 워터파크,993500,162863,121775,193828,245836,269198
전라남도,여수시,라마다 여수짚트랙,391265,,,94029,146990,150246
전라남도,여수시,봉황산자연휴양림,64897,2578,0,18978,24009,19332
전라남도,여수시,북한반잠수정,226040,40181,55999,53363,38126,38371
전라남도,여수시,소호요트장,13750,4628,428,2067,3106,3521
전라남도,여수시,손양원목사기념관,77300,8925,4405,16410,22570,24990
전라남도,여수시,송시마을체험장,0,0,0,,,
전라남도,여수시,시티파크골프장,599370,105264,125983,131699,121178,115246
전라남도,여수시,아쿠아플라넷여수,3203141,450552,632073,777279,716557,626680
전라남도,여수시,엑스포해양공원(EDG),10947354,2480985,3040543,3369012,2056814,
전라남도,여수시,여수낭만포차,1434233,,402050,525303,506880,
전라남도,여수시,여수민속전시관,33171,2673,5318,7130,8568,9482
전라남도,여수시,여수챌린지파크루지,83018,,,,,83018
전라남도,여수시,여수하멜전시관,426581,94674,83166,95076,78677,74988
전라남도,여수시,여수해양레일바이크,313811,124792,129830,59189,,
전라남도,여수시,"여자만(시티투어,갯벌체험)",212906,23967,30036,47489,54256,57158
전라남도,여수시,예울마루,538698,118780,80761,126057,114703,98397
전라남도,여수시,오동도,5626227,1697282,1349556,1319931,1259458,
전라남도,여수시,웅천친수공원해변,878776,29390,52811,135113,196270,465192
전라남도,여수시,유람선(오동도 코스),1740429,138773,212140,487697,498971,402848
전라남도,여수시,유월드 루지테마파크,2142737,293488,305228,446977,598453,498591
전라남도,여수시,장도(예술의섬),1412532,294501,338868,405124,374039,
전라남도,여수시,전라남도 해양수산과학관,638281,43306,40768,114818,200871,238518
전라남도,여수시,전라좌수영거북선,1088411,0,0,,384076,704335
전라남도,여수시,조발도 해오름 언덕,110002,,55680,681,53641,
전라남도,여수시,좌수영다리,523971,116170,126130,140395,141276,
전라남도,여수시,진남관,10810,10810,0,,,
전라남도,여수시,하화도,130167,20860,15808,23964,22853,46682
전라남도,여수시,향일암,2597713,540240,548515,720841,788117,
전라남도,여수시,흥국사,314335,24079,16533,123359,150364,
전라남도,순천시,거차 뻘배 체험장,36630,7067,6120,7474,8191,7778
전라남도,순천시,고인돌공원,50706,9604,7259,11074,11408,11361
전라남도,순천시,골프존 카운티,868504,175532,186937,178476,164170,163389
전라남도,순천시,그림책도서관,175485,6495,17017,28224,48797,74952
전라남도,순천시,기독교역사박물관,331644,4933,282802,9751,18638,15520
전라남도,순천시,기적의도서관,269229,25068,33212,63585,77146,70218
전라남도,순천시,낙안민속자연휴양림,217680,17170,39943,57293,50425,52849
전라남도,순천시,낙안읍성민속마을,2898607,333453,333834,672390,767227,791703
전라남도,순천시,물사랑 학습 체험관,39321,3987,12130,18310,4167,727
전라남도,순천시,부영컨트리클럽,419011,62627,91804,101543,81604,81433
전라남도,순천시,빅토리아하우스,3863,3863,0,,,
전라남도,순천시,선암사,1150650,215930,248485,296986,389249,
전라남도,순천시,송광사,654330,111646,114505,157631,270548,
전라남도,순천시,순천 드라마 촬영장,1237310,169195,140466,246308,393016,288325
전라남도,순천시,순천만국가정원·순천만습지,18879801,1937742,2182748,2673152,7781426,4304733
전라남도,순천시,순천만생태문화교육원,1248939,21794,431577,145083,513406,137079
전라남도,순천시,순천문화건강센터 수영장,961760,97767,35571,174418,264507,389497
전라남도,순천시,순천문화예술회관 ,257605,11721,29086,61641,80580,74577
전라남도,순천시,순천부 읍성 남문터 광장,615838,,,481468,114941,19429
전라남도,순천시,순천생태마을,22642,726,11761,9880,275,
전라남도,순천시,순천시립뿌리깊은나무박물관,122660,14975,11549,15999,44876,35261
전라남도,순천시,순천시청소년수련원,121985,1576,177,41866,46390,31976
전라남도,순천시,순천용오름마을,48953,17142,6763,7628,10214,7206
전라남도,순천시,순천자연휴양림,209999,11320,11612,33169,78064,75834
전라남도,순천시,순천철도마을박물관,72140,686,3587,14902,21731,31234
전라남도,순천시,순천컨트리클럽,200697,39437,44665,47723,35455,33417
전라남도,순천시,순천향매실마을,24387,787,5765,5208,7180,5447
전라남도,순천시,어린이교통공원,21331,1410,2032,6327,5800,5762
전라남도,순천시,업사이클센터더새롬,52844,3489,6277,9113,13527,20438
전라남도,순천시,에코촌유스호스텔,40205,1234,314,7932,15827,14898
전라남도,순천시,예술의 성,10800,,,6700,4100,
